Date,High,Low,Open,Close,Volume,Adj Close,MTD-15ma,MTD-50ma,MTD-100ma,MTD-200ma
2000-03-09,37.5,36.9375,37.5,37.0,156100,37.0,37.44583333333333,36.07446808510638,36.07446808510638,36.07446808510638
2000-03-10,38.0,36.875,37.0,37.5,178800,37.5,37.416666666666664,36.104166666666664,36.104166666666664,36.104166666666664
2000-03-13,38.1875,36.8125,37.375,38.1875,50200,38.1875,37.52916666666667,36.14668367346939,36.14668367346939,36.14668367346939
2000-03-14,40.125,38.0,38.0,38.4375,176700,38.4375,37.675,36.1925,36.1925,36.1925
2000-03-15,39.9375,36.625,38.4375,39.25,139300,39.25,37.829166666666666,36.27,36.252450980392155,36.252450980392155
2000-03-16,43.3125,39.0,39.3125,42.625,373800,42.625,38.21666666666667,36.43,36.375,36.375
2000-03-17,42.875,41.6875,42.1875,42.4375,121500,42.4375,38.579166666666666,36.60125,36.489386792452834,36.489386792452834
2000-03-20,43.6875,42.625,42.6875,42.875,138100,42.875,38.858333333333334,36.76625,36.607638888888886,36.607638888888886
2000-03-21,42.9375,41.5,42.25,42.9375,73300,42.9375,39.145833333333336,36.9125,36.722727272727276,36.722727272727276
2000-03-22,44.5,43.0625,43.0625,44.5,229900,44.5,39.55,37.0575,36.861607142857146,36.861607142857146
2000-03-23,44.5,43.3125,44.5,44.0625,71100,44.0625,40.0,37.2175,36.987938596491226,36.987938596491226
2000-03-24,44.0,41.5,43.875,41.6875,130500,41.6875,40.291666666666664,37.33375,37.06896551724138,37.06896551724138
2000-03-27,41.8125,40.25,41.8125,40.5625,74300,40.5625,40.5375,37.4275,37.128177966101696,37.128177966101696
2000-03-28,40.4375,39.0625,40.375,39.5,218300,39.5,40.604166666666664,37.5075,37.16770833333333,37.16770833333333
2000-03-29,42.1875,39.125,39.125,40.5,358500,40.5,40.80416666666667,37.615,37.22233606557377,37.22233606557377
2000-03-30,41.0,39.8125,40.25,40.5,63400,40.5,41.0375,37.71875,37.275201612903224,37.275201612903224
2000-03-31,41.75,40.625,40.625,40.9375,135700,40.9375,41.266666666666666,37.84,37.333333333333336,37.333333333333336
2000-04-03,40.75,39.75,40.75,40.1875,50400,40.1875,41.4,37.94625,37.3779296875,37.3779296875
2000-04-04,41.0,39.5,40.375,40.0,123700,40.0,41.50416666666667,38.05375,37.41826923076923,37.41826923076923
2000-04-05,40.4375,39.8125,40.0,40.125,208400,40.125,41.5625,38.1725,37.459280303030305,37.459280303030305
2000-04-06,40.9375,40.0625,40.125,40.0625,143400,40.0625,41.391666666666666,38.295,37.49813432835821,37.49813432835821
2000-04-07,40.8125,40.1875,40.25,40.5625,64000,40.5625,41.266666666666666,38.4425,37.54319852941177,37.54319852941177
2000-04-10,40.6875,40.1875,40.5625,40.1875,105800,40.1875,41.0875,38.6,37.58152173913044,37.58152173913044
2000-04-11,40.5,40.0,40.5,40.0,62000,40.0,40.891666666666666,38.7625,37.61607142857143,37.61607142857143
2000-04-12,40.875,39.5,40.125,40.3125,163000,40.3125,40.6125,38.92875,37.65404929577465,37.65404929577465
2000-04-13,41.625,39.75,39.8125,40.9375,55100,40.9375,40.40416666666667,39.1,37.69965277777778,37.69965277777778
2000-04-14,41.125,37.75,41.0,38.75,140400,38.75,40.208333333333336,39.175,37.71404109589041,37.71404109589041
2000-04-17,40.375,38.5625,39.0,40.375,80400,40.375,40.19583333333333,39.225,37.75,37.75
2000-04-18,43.625,40.625,40.625,42.6875,146100,42.6875,40.40833333333333,39.31875,37.81583333333333,37.81583333333333
2000-04-19,45.75,42.0,42.4375,44.375,176700,44.375,40.666666666666664,39.45875,37.90213815789474,37.90213815789474
2000-04-20,44.375,43.75,44.375,44.0,134200,44.0,40.9,39.5975,37.98133116883117,37.98133116883117
2000-04-24,44.1875,38.25,44.0,38.25,198600,38.25,40.72083333333333,39.615,37.98477564102564,37.98477564102564
2000-04-25,44.0,40.0,40.0,43.8125,143800,43.8125,40.9625,39.745,38.05854430379747,38.05854430379747
2000-04-26,43.9375,41.5,43.9375,41.75,71500,41.75,41.079166666666666,39.8225,38.1046875,38.1046875
2000-04-27,41.5625,40.0,41.5,41.0,46800,41.0,41.1375,39.87875,38.14043209876543,38.14043209876543
2000-04-28,39.75,34.0,39.75,34.5,952200,34.5,40.766666666666666,39.80125,38.09603658536585,38.09603658536585
