Date,High,Low,Open,Close,Volume,Adj Close,GD-15ma,GD-50ma,GD-100ma,GD-200ma
2000-05-24,30.0,28.5625,28.59375,29.15625,2025800.0,19.709495544433594,19.081383514404298,17.812105293273927,16.567087640762328,16.567087640762328
2000-05-25,29.3125,28.5625,29.0625,28.5625,1078200.0,19.308122634887695,19.11095822652181,17.906522426605225,16.595888910293578,16.594226601100203
2000-05-26,28.9375,28.21875,28.6875,28.21875,576400.0,19.075759887695312,19.098284022013345,17.984521751403808,16.615460481643677,16.61855535881192
2000-05-30,29.1875,28.1875,28.1875,29.0625,914200.0,19.646116256713867,19.144758478800455,18.069724292755126,16.629016313552857,16.647949153937184
2000-05-31,29.6875,29.25,29.25,29.53125,1139800.0,19.962995529174805,19.179966481526694,18.159162464141847,16.645113096237182,16.679824599852928
2000-06-01,30.1875,29.1875,29.40625,30.1875,1762800.0,20.406618118286133,19.284182357788087,18.25453050613403,16.660832834243774,16.715317871457053
2000-06-02,30.59375,29.0,30.4375,29.3125,1304200.0,19.81511688232422,19.332065709431966,18.341851902008056,16.672311658859254,16.74456125835203
2000-06-05,29.125,28.53125,29.125,28.6875,925000.0,19.39262580871582,19.353190104166668,18.41736047744751,16.6820769405365,16.769309525177857
2000-06-06,29.125,28.75,28.78125,28.9375,736600.0,19.561620712280273,19.374314753214517,18.484057903289795,16.699451093673705,16.795164258391768
2000-06-07,29.4375,28.53125,28.9375,28.71875,708000.0,19.413745880126953,19.401072565714518,18.550740451812743,16.71534649848938,16.819187942994844
2000-06-08,28.625,27.5,28.625,27.71875,1910400.0,18.737754821777344,19.41938107808431,18.608527336120606,16.723220853805543,16.836629460074686
2000-06-09,28.15625,27.3125,27.625,27.59375,1587000.0,18.65325355529785,19.408114751180012,18.665044593811036,16.735504999160767,16.852995442914533
2000-06-12,27.875,27.4375,27.6875,27.59375,1101600.0,18.65325355529785,19.371498362223306,18.71315425872803,16.75136239051819,16.869069176060812
2000-06-13,27.59375,26.9375,27.53125,27.0625,1087800.0,18.29412841796875,19.325023905436197,18.74441276550293,16.7684103679657,16.881680319794512
2000-06-14,28.15625,27.25,27.3125,27.6875,903000.0,18.71661949157715,19.289815139770507,18.776553993225097,16.789525632858275,16.89777627744173
2000-06-15,28.46875,27.5,27.5625,28.125,740600.0,19.012378692626953,19.243340682983398,18.80746395111084,16.823477449417116,16.916164124530294
2000-06-16,28.59375,27.5,28.59375,27.515625,1207400.0,18.600439071655273,19.196161778767905,18.835559921264647,16.851207933425904,16.93068373614344
2000-06-19,27.6875,26.875,27.40625,26.875,1849800.0,18.167383193969727,19.13560333251953,18.85330478668213,16.875028238296508,16.941253816979565
2000-06-20,27.3125,26.375,26.90625,27.0,1795600.0,18.251882553100586,19.04265441894531,18.875274848937988,16.899483346939085,16.952360840167028
2000-06-21,27.09375,26.28125,26.8125,26.5625,1186000.0,17.956134796142578,18.908863703409832,18.891329956054687,16.920140285491943,16.96079591542733
2000-06-22,26.875,25.96875,26.65625,26.28125,889000.0,17.76600456237793,18.732822799682616,18.90062484741211,16.93931622505188,16.96750598748525
2000-06-23,27.375,26.375,26.75,27.09375,1335200.0,18.315258026123047,18.632832209269207,18.91329978942871,16.959991102218627,16.978644434085563
2000-06-26,27.625,27.03125,27.0625,27.0625,712200.0,18.29412841796875,18.559599049886067,18.922594604492186,16.983187227249147,16.989427089691162
2000-06-27,27.625,27.1875,27.4375,27.21875,1827800.0,18.399747848510742,18.482140858968098,18.943296852111818,17.01164330482483,17.00089311212059
2000-06-28,27.1875,26.5,27.1875,26.7421875,1321000.0,18.07760238647461,18.393064626057942,18.963893585205078,17.03919002532959,17.009576251429895
2000-06-29,26.9375,26.0,26.125,26.40625,1917600.0,17.850507736206055,18.33391482035319,18.98121597290039,17.068039054870606,17.016303703308104
2000-06-30,26.375,26.0,26.21875,26.125,1543400.0,17.660385131835938,18.267723592122397,18.982906227111815,17.100031433105467,17.021415460677375
2000-07-03,26.3125,26.03125,26.1875,26.21875,348800.0,17.723758697509766,18.205757268269856,18.97530132293701,17.136861314773558,17.026945722384717
2000-07-05,26.5,26.03125,26.125,26.25,1522600.0,17.74488067626953,18.169140752156576,18.938121490478515,17.17243112564087,17.03255458921194
2000-07-06,26.5,26.0625,26.25,26.09375,828800.0,17.639265060424805,18.097317123413085,18.889957008361815,17.20946713447571,17.03725777115933
2000-07-07,26.40625,26.125,26.25,26.28125,1051600.0,17.76600456237793,18.01422551472982,18.860804634094237,17.24735007286072,17.04286351570716
2000-07-10,26.640625,26.28125,26.40625,26.3125,822800.0,17.787132263183594,17.960005060831705,18.81517490386963,17.286285085678102,17.048544956527593
2000-07-11,26.71875,25.9375,26.1875,26.625,972000.0,17.998371124267578,17.948737589518228,18.779685020446777,17.32649168968201,17.055740609313503
2000-07-12,26.90625,26.0625,26.34375,26.90625,743800.0,18.277755737304688,17.95046246846517,18.746825294494627,17.36423741340637,17.06492869298261
2000-07-13,26.96875,26.59375,26.96875,26.71875,855000.0,18.150373458862305,17.963411712646483,18.723247604370115,17.404913082122803,17.07302902705634
2000-07-14,26.875,26.5625,26.78125,26.8125,970600.0,18.214061737060547,17.99328219095866,18.710238800048828,17.442442226409913,17.08148112120452
2000-07-17,27.40625,26.71875,26.8125,27.1875,1060600.0,18.46880531311035,18.003518676757814,18.702324867248535,17.482098445892333,17.091682034380295
2000-07-18,27.3125,26.4375,27.28125,26.53125,634000.0,18.023006439208984,17.98544387817383,18.67746753692627,17.520239305496215,17.09848002273671
2000-07-19,27.71875,26.65625,26.65625,27.0625,1494200.0,18.383888244628906,17.984386571248372,18.666165313720704,17.55967688560486,17.10779457506926
2000-07-20,29.0,27.125,27.125,28.9375,1465400.0,19.657609939575195,18.089720408121746,18.67062000274658,17.611431369781496,17.12613857049736
2000-07-21,29.1875,28.15625,29.03125,28.96875,1146600.0,19.6788272857666,18.211608378092446,18.68732894897461,17.662767362594604,17.144372061320713
2000-07-24,29.78125,28.75,29.0625,29.625,1469600.0,20.124629974365234,18.375891367594402,18.707884216308592,17.721504106521607,17.165508642264292
2000-07-25,29.96875,29.0625,29.6875,29.34375,1031600.0,19.933568954467773,18.523212051391603,18.725040397644044,17.782534074783324,17.1850020247446
2000-07-26,29.65625,28.40625,29.375,28.40625,1384600.0,19.29671859741211,18.626667912801107,18.726079750061036,17.84476240158081,17.19976927350451
2000-07-27,28.71875,27.65625,28.5,28.59375,1170200.0,19.424095153808594,18.74565658569336,18.73431407928467,17.911837759017946,17.215215981006622
2000-07-28,28.53125,28.21875,28.5,28.375,2199200.0,19.275493621826172,18.846289189656577,18.75056140899658,17.98015959739685,17.229424792322618
2000-07-31,28.875,28.15625,28.375,28.21875,898200.0,19.16934585571289,18.93843676249186,18.757503356933594,18.045738430023192,17.242711922893786
2000-08-01,29.90625,28.28125,28.34375,29.28125,1816200.0,19.891109466552734,19.064619318644205,18.77127555847168,18.11075779914856,17.260728232714595
2000-08-02,29.59375,29.15625,29.28125,29.34375,2189000.0,19.933568954467773,19.175006866455078,18.790122032165527,18.17788326263428,17.278787967321033
